Date,Symbol,Order,Shares
2008-09-17,ML4T-399,SELL,100
2008-09-11,ML4T-399,BUY,100
2008-09-18,ML4T-399,SELL,100
2008-09-12,ML4T-399,BUY,100
2008-09-19,ML4T-399,SELL,100
2008-09-18,ML4T-399,SELL,100
2008-09-25,ML4T-399,BUY,100
2008-09-19,ML4T-399,SELL,100
2008-09-26,ML4T-399,BUY,100
2008-09-22,ML4T-399,SELL,100
2008-09-29,ML4T-399,BUY,100
2008-09-23,ML4T-399,SELL,100
2008-09-30,ML4T-399,BUY,100
2008-09-29,ML4T-399,BUY,100
2008-10-06,ML4T-399,SELL,100
2008-09-30,ML4T-399,BUY,100
2008-10-07,ML4T-399,SELL,100
2008-10-01,ML4T-399,BUY,100
2008-10-08,ML4T-399,SELL,100
2008-10-02,ML4T-399,BUY,100
2008-10-09,ML4T-399,SELL,100
2008-10-03,ML4T-399,BUY,100
2008-10-10,ML4T-399,SELL,100
2008-10-09,ML4T-399,SELL,100
2008-10-16,ML4T-399,BUY,100
2008-10-10,ML4T-399,SELL,100
2008-10-17,ML4T-399,BUY,100
2008-10-13,ML4T-399,SELL,100
2008-10-20,ML4T-399,BUY,100
2008-10-14,ML4T-399,SELL,100
2008-10-21,ML4T-399,BUY,100
2008-10-15,ML4T-399,SELL,100
2008-10-22,ML4T-399,BUY,100
2008-10-20,ML4T-399,BUY,100
2008-10-27,ML4T-399,SELL,100
2008-10-21,ML4T-399,BUY,100
2008-10-28,ML4T-399,SELL,100
2008-10-22,ML4T-399,BUY,100
2008-10-29,ML4T-399,SELL,100
2008-10-23,ML4T-399,BUY,100
2008-10-30,ML4T-399,SELL,100
2008-10-24,ML4T-399,BUY,100
2008-10-31,ML4T-399,SELL,100
2008-10-30,ML4T-399,SELL,100
2008-11-06,ML4T-399,BUY,100
2008-10-31,ML4T-399,SELL,100
2008-11-07,ML4T-399,BUY,100
2008-11-03,ML4T-399,SELL,100
2008-11-10,ML4T-399,BUY,100
2008-11-04,ML4T-399,SELL,100
2008-11-11,ML4T-399,BUY,100
2008-11-05,ML4T-399,SELL,100
2008-11-12,ML4T-399,BUY,100
2008-11-10,ML4T-399,BUY,100
2008-11-17,ML4T-399,SELL,100
2008-11-11,ML4T-399,BUY,100
2008-11-18,ML4T-399,SELL,100
2008-11-12,ML4T-399,BUY,100
2008-11-19,ML4T-399,SELL,100
2008-11-13,ML4T-399,BUY,100
2008-11-20,ML4T-399,SELL,100
2008-11-14,ML4T-399,BUY,100
2008-11-21,ML4T-399,SELL,100
2008-11-17,ML4T-399,BUY,100
2008-11-24,ML4T-399,SELL,100
2008-11-20,ML4T-399,SELL,100
2008-11-28,ML4T-399,BUY,100
2008-11-21,ML4T-399,SELL,100
2008-12-01,ML4T-399,BUY,100
2008-11-24,ML4T-399,SELL,100
2008-12-02,ML4T-399,BUY,100
2008-11-25,ML4T-399,SELL,100
2008-12-03,ML4T-399,BUY,100
2008-11-26,ML4T-399,SELL,100
2008-12-04,ML4T-399,BUY,100
2008-12-03,ML4T-399,BUY,100
2008-12-10,ML4T-399,SELL,100
2008-12-04,ML4T-399,BUY,100
2008-12-11,ML4T-399,SELL,100
2008-12-05,ML4T-399,BUY,100
2008-12-12,ML4T-399,SELL,100
2008-12-08,ML4T-399,BUY,100
2008-12-15,ML4T-399,SELL,100
2008-12-09,ML4T-399,BUY,100
2008-12-16,ML4T-399,SELL,100
2008-12-12,ML4T-399,SELL,100
2008-12-19,ML4T-399,BUY,100
2008-12-15,ML4T-399,SELL,100
2008-12-22,ML4T-399,BUY,100
2008-12-16,ML4T-399,SELL,100
2008-12-23,ML4T-399,BUY,100
2008-12-17,ML4T-399,SELL,100
2008-12-24,ML4T-399,BUY,100
2008-12-18,ML4T-399,SELL,100
2008-12-26,ML4T-399,BUY,100
2008-12-24,ML4T-399,BUY,100
2009-01-02,ML4T-399,SELL,100
2008-12-26,ML4T-399,BUY,100
2009-01-05,ML4T-399,SELL,100
2008-12-29,ML4T-399,BUY,100
2009-01-06,ML4T-399,SELL,100
2008-12-30,ML4T-399,BUY,100
2009-01-07,ML4T-399,SELL,100
2008-12-31,ML4T-399,BUY,100
2009-01-08,ML4T-399,SELL,100
2009-01-06,ML4T-399,SELL,100
2009-01-13,ML4T-399,BUY,100
2009-01-07,ML4T-399,SELL,100
2009-01-14,ML4T-399,BUY,100
2009-01-08,ML4T-399,SELL,100
2009-01-15,ML4T-399,BUY,100
2009-01-09,ML4T-399,SELL,100
2009-01-16,ML4T-399,BUY,100
2009-01-12,ML4T-399,SELL,100
2009-01-20,ML4T-399,BUY,100
2009-01-16,ML4T-399,BUY,100
2009-01-26,ML4T-399,SELL,100
2009-01-20,ML4T-399,BUY,100
2009-01-27,ML4T-399,SELL,100
2009-01-21,ML4T-399,BUY,100
2009-01-28,ML4T-399,SELL,100
2009-01-22,ML4T-399,BUY,100
2009-01-29,ML4T-399,SELL,100
2009-01-23,ML4T-399,BUY,100
2009-01-30,ML4T-399,SELL,100
2009-01-28,ML4T-399,SELL,100
2009-02-04,ML4T-399,BUY,100
2009-01-29,ML4T-399,SELL,100
2009-02-05,ML4T-399,BUY,100
2009-01-30,ML4T-399,SELL,100
2009-02-06,ML4T-399,BUY,100
2009-02-02,ML4T-399,SELL,100
2009-02-09,ML4T-399,BUY,100
2009-02-03,ML4T-399,SELL,100
2009-02-10,ML4T-399,BUY,100
2009-02-09,ML4T-399,BUY,100
2009-02-17,ML4T-399,SELL,100
2009-02-10,ML4T-399,BUY,100
2009-02-18,ML4T-399,SELL,100
2009-02-11,ML4T-399,BUY,100
2009-02-19,ML4T-399,SELL,100
2009-02-12,ML4T-399,BUY,100
2009-02-20,ML4T-399,SELL,100
2009-02-13,ML4T-399,BUY,100
2009-02-23,ML4T-399,SELL,100
2009-02-19,ML4T-399,SELL,100
2009-02-26,ML4T-399,BUY,100
2009-02-20,ML4T-399,SELL,100
2009-02-27,ML4T-399,BUY,100
2009-02-23,ML4T-399,SELL,100
2009-03-02,ML4T-399,BUY,100
2009-02-24,ML4T-399,SELL,100
2009-03-03,ML4T-399,BUY,100
2009-02-25,ML4T-399,SELL,100
2009-03-04,ML4T-399,BUY,100
2009-03-03,ML4T-399,BUY,100
2009-03-10,ML4T-399,SELL,100
2009-03-04,ML4T-399,BUY,100
2009-03-11,ML4T-399,SELL,100
2009-03-05,ML4T-399,BUY,100
2009-03-12,ML4T-399,SELL,100
2009-03-06,ML4T-399,BUY,100
2009-03-13,ML4T-399,SELL,100
2009-03-09,ML4T-399,BUY,100
2009-03-16,ML4T-399,SELL,100
2009-03-13,ML4T-399,SELL,100
2009-03-20,ML4T-399,BUY,100
2009-03-16,ML4T-399,SELL,100
2009-03-23,ML4T-399,BUY,100
2009-03-17,ML4T-399,SELL,100
2009-03-24,ML4T-399,BUY,100
2009-03-18,ML4T-399,SELL,100
2009-03-25,ML4T-399,BUY,100
2009-03-19,ML4T-399,SELL,100
2009-03-26,ML4T-399,BUY,100
2009-03-24,ML4T-399,BUY,100
2009-03-31,ML4T-399,SELL,100
2009-03-25,ML4T-399,BUY,100
2009-04-01,ML4T-399,SELL,100
2009-03-26,ML4T-399,BUY,100
2009-04-02,ML4T-399,SELL,100
2009-03-27,ML4T-399,BUY,100
2009-04-03,ML4T-399,SELL,100
2009-03-30,ML4T-399,BUY,100
2009-04-06,ML4T-399,SELL,100
2009-04-03,ML4T-399,SELL,100
2009-04-13,ML4T-399,BUY,100
2009-04-06,ML4T-399,SELL,100
2009-04-14,ML4T-399,BUY,100
2009-04-07,ML4T-399,SELL,100
2009-04-15,ML4T-399,BUY,100
2009-04-08,ML4T-399,SELL,100
2009-04-16,ML4T-399,BUY,100
2009-04-09,ML4T-399,SELL,100
2009-04-17,ML4T-399,BUY,100
2009-04-15,ML4T-399,BUY,100
2009-04-22,ML4T-399,SELL,100
2009-04-16,ML4T-399,BUY,100
2009-04-23,ML4T-399,SELL,100
2009-04-17,ML4T-399,BUY,100
2009-04-24,ML4T-399,SELL,100
2009-04-20,ML4T-399,BUY,100
2009-04-27,ML4T-399,SELL,100
2009-04-21,ML4T-399,BUY,100
2009-04-28,ML4T-399,SELL,100
2009-04-22,ML4T-399,BUY,100
2009-04-29,ML4T-399,SELL,100
2009-04-27,ML4T-399,SELL,100
2009-05-04,ML4T-399,BUY,100
2009-04-28,ML4T-399,SELL,100
2009-05-05,ML4T-399,BUY,100
2009-04-29,ML4T-399,SELL,100
2009-05-06,ML4T-399,BUY,100
2009-04-30,ML4T-399,SELL,100
2009-05-07,ML4T-399,BUY,100
2009-05-01,ML4T-399,SELL,100
2009-05-08,ML4T-399,BUY,100
2009-05-06,ML4T-399,BUY,100
2009-05-13,ML4T-399,SELL,100
2009-05-07,ML4T-399,BUY,100
2009-05-14,ML4T-399,SELL,100
2009-05-08,ML4T-399,BUY,100
2009-05-15,ML4T-399,SELL,100
2009-05-11,ML4T-399,BUY,100
2009-05-18,ML4T-399,SELL,100
2009-05-12,ML4T-399,BUY,100
2009-05-19,ML4T-399,SELL,100
2009-05-13,ML4T-399,BUY,100
2009-05-20,ML4T-399,SELL,100
2009-05-18,ML4T-399,SELL,100
2009-05-26,ML4T-399,BUY,100
2009-05-19,ML4T-399,SELL,100
2009-05-27,ML4T-399,BUY,100
2009-05-20,ML4T-399,SELL,100
2009-05-28,ML4T-399,BUY,100
2009-05-21,ML4T-399,SELL,100
2009-05-29,ML4T-399,BUY,100
2009-05-22,ML4T-399,SELL,100
2009-06-01,ML4T-399,BUY,100
2009-05-29,ML4T-399,BUY,100
2009-06-05,ML4T-399,SELL,100
2009-06-01,ML4T-399,BUY,100
2009-06-08,ML4T-399,SELL,100
2009-06-02,ML4T-399,BUY,100
2009-06-09,ML4T-399,SELL,100
2009-06-03,ML4T-399,BUY,100
2009-06-10,ML4T-399,SELL,100
2009-06-04,ML4T-399,BUY,100
2009-06-11,ML4T-399,SELL,100
2009-06-09,ML4T-399,SELL,100
2009-06-16,ML4T-399,BUY,100
2009-06-10,ML4T-399,SELL,100
2009-06-17,ML4T-399,BUY,100
2009-06-11,ML4T-399,SELL,100
2009-06-18,ML4T-399,BUY,100
2009-06-12,ML4T-399,SELL,100
2009-06-19,ML4T-399,BUY,100
2009-06-15,ML4T-399,SELL,100
2009-06-22,ML4T-399,BUY,100
2009-06-19,ML4T-399,BUY,100
2009-06-26,ML4T-399,SELL,100
2009-06-22,ML4T-399,BUY,100
2009-06-29,ML4T-399,SELL,100
2009-06-23,ML4T-399,BUY,100
2009-06-30,ML4T-399,SELL,100
2009-06-24,ML4T-399,BUY,100
2009-07-01,ML4T-399,SELL,100
2009-06-25,ML4T-399,BUY,100
2009-07-02,ML4T-399,SELL,100
2009-06-30,ML4T-399,SELL,100
2009-07-08,ML4T-399,BUY,100
2009-07-01,ML4T-399,SELL,100
2009-07-09,ML4T-399,BUY,100
2009-07-02,ML4T-399,SELL,100
2009-07-10,ML4T-399,BUY,100
2009-07-06,ML4T-399,SELL,100
2009-07-13,ML4T-399,BUY,100
2009-07-07,ML4T-399,SELL,100
2009-07-14,ML4T-399,BUY,100
2009-07-13,ML4T-399,BUY,100
2009-07-20,ML4T-399,SELL,100
2009-07-14,ML4T-399,BUY,100
2009-07-21,ML4T-399,SELL,100
2009-07-15,ML4T-399,BUY,100
2009-07-22,ML4T-399,SELL,100
2009-07-16,ML4T-399,BUY,100
2009-07-23,ML4T-399,SELL,100
2009-07-17,ML4T-399,BUY,100
2009-07-24,ML4T-399,SELL,100
2009-07-22,ML4T-399,SELL,100
2009-07-29,ML4T-399,BUY,100
2009-07-23,ML4T-399,SELL,100
2009-07-30,ML4T-399,BUY,100
2009-07-24,ML4T-399,SELL,100
2009-07-31,ML4T-399,BUY,100
2009-07-27,ML4T-399,SELL,100
2009-08-03,ML4T-399,BUY,100
2009-07-28,ML4T-399,SELL,100
2009-08-04,ML4T-399,BUY,100
2009-08-03,ML4T-399,BUY,100
2009-08-10,ML4T-399,SELL,100
2009-08-04,ML4T-399,BUY,100
2009-08-11,ML4T-399,SELL,100
2009-08-05,ML4T-399,BUY,100
2009-08-12,ML4T-399,SELL,100
2009-08-06,ML4T-399,BUY,100
2009-08-13,ML4T-399,SELL,100
2009-08-07,ML4T-399,BUY,100
2009-08-14,ML4T-399,SELL,100
2009-08-12,ML4T-399,SELL,100
2009-08-19,ML4T-399,BUY,100
2009-08-13,ML4T-399,SELL,100
2009-08-20,ML4T-399,BUY,100
2009-08-14,ML4T-399,SELL,100
2009-08-21,ML4T-399,BUY,100
2009-08-17,ML4T-399,SELL,100
2009-08-24,ML4T-399,BUY,100
2009-08-18,ML4T-399,SELL,100
2009-08-25,ML4T-399,BUY,100
2009-08-24,ML4T-399,BUY,100
2009-08-31,ML4T-399,SELL,100
2009-08-25,ML4T-399,BUY,100
2009-09-01,ML4T-399,SELL,100
2009-08-26,ML4T-399,BUY,100
2009-09-02,ML4T-399,SELL,100
2009-08-27,ML4T-399,BUY,100
2009-09-03,ML4T-399,SELL,100
2009-08-28,ML4T-399,BUY,100
2009-09-04,ML4T-399,SELL,100
2009-09-03,ML4T-399,SELL,100
2009-09-11,ML4T-399,BUY,100
2009-09-04,ML4T-399,SELL,100
2009-09-14,ML4T-399,BUY,100
2009-09-08,ML4T-399,SELL,100
2009-09-15,ML4T-399,BUY,100
2009-09-09,ML4T-399,SELL,100
2009-09-16,ML4T-399,BUY,100
2009-09-10,ML4T-399,SELL,100
2009-09-17,ML4T-399,BUY,100
2009-09-15,ML4T-399,BUY,100
2009-09-22,ML4T-399,SELL,100
2009-09-16,ML4T-399,BUY,100
2009-09-23,ML4T-399,SELL,100
2009-09-17,ML4T-399,BUY,100
2009-09-24,ML4T-399,SELL,100
2009-09-18,ML4T-399,BUY,100
2009-09-25,ML4T-399,SELL,100
2009-09-21,ML4T-399,BUY,100
2009-09-28,ML4T-399,SELL,100
2009-09-25,ML4T-399,SELL,100
2009-10-02,ML4T-399,BUY,100
2009-09-28,ML4T-399,SELL,100
2009-10-05,ML4T-399,BUY,100
